regime,regimeLabel,factorKey,factorLabel,factorValue,metricKey,metricLabel,ratioMean,ratioCount
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),5,sumQueueSizes,Total Queue Size (Final),0.9587906882744509,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),8,sumQueueSizes,Total Queue Size (Final),0.9589775954559798,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),12,sumQueueSizes,Total Queue Size (Final),0.9585008470504943,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),15,sumQueueSizes,Total Queue Size (Final),0.9547847963640731,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),18,sumQueueSizes,Total Queue Size (Final),0.9554010674872262,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),22,sumQueueSizes,Total Queue Size (Final),0.9561936315111357,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),25,sumQueueSizes,Total Queue Size (Final),0.9570066432697881,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),29,sumQueueSizes,Total Queue Size (Final),0.9586288869291821,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),32,sumQueueSizes,Total Queue Size (Final),0.9596761289083752,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),35,sumQueueSizes,Total Queue Size (Final),0.9610107052088415,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),39,sumQueueSizes,Total Queue Size (Final),0.961875149177187,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),42,sumQueueSizes,Total Queue Size (Final),0.9589578182941904,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),45,sumQueueSizes,Total Queue Size (Final),0.9577092340951204,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),49,sumQueueSizes,Total Queue Size (Final),0.9577056965079692,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),52,sumQueueSizes,Total Queue Size (Final),0.95612640845297,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),56,sumQueueSizes,Total Queue Size (Final),0.9543604276697153,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),59,sumQueueSizes,Total Queue Size (Final),0.9554611431080348,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),62,sumQueueSizes,Total Queue Size (Final),0.956337809516417,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),66,sumQueueSizes,Total Queue Size (Final),0.9578125304049452,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),69,sumQueueSizes,Total Queue Size (Final),0.9580172537181372,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),72,sumQueueSizes,Total Queue Size (Final),0.9590098222607494,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),76,sumQueueSizes,Total Queue Size (Final),0.9614986843311034,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),79,sumQueueSizes,Total Queue Size (Final),0.9621323070658777,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),83,sumQueueSizes,Total Queue Size (Final),0.9595438679369078,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),86,sumQueueSizes,Total Queue Size (Final),0.9572150786521274,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),89,sumQueueSizes,Total Queue Size (Final),0.9554219704601055,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),93,sumQueueSizes,Total Queue Size (Final),0.9543850674222152,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),96,sumQueueSizes,Total Queue Size (Final),0.9536072663792141,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),100,sumQueueSizes,Total Queue Size (Final),0.9559826696165191,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),2,sumStdTotalWaitTimes,Sum of Std Total Wait Times (Final),0.7285653072476126,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),5,sumStdTotalWaitTimes,Sum of Std Total Wait Times (Final),0.7290813627119775,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),8,sumStdTotalWaitTimes,Sum of Std Total Wait Times (Final),0.7230192540164144,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),12,sumStdTotalWaitTimes,Sum of Std Total Wait Times (Final),0.7196206156471135,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),15,sumStdTotalWaitTimes,Sum of Std Total Wait Times (Final),0.7194746606944631,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),18,sumStdTotalWaitTimes,Sum of Std Total Wait Times (Final),0.7173206898402776,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),22,sumStdTotalWaitTimes,Sum of Std Total Wait Times (Final),0.7171401136474549,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),25,sumStdTotalWaitTimes,Sum of Std Total Wait Times (Final),0.7130840615513044,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),29,sumStdTotalWaitTimes,Sum of Std Total Wait Times (Final),0.7094299349155383,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),32,sumStdTotalWaitTimes,Sum of Std Total Wait Times (Final),0.7079192686145684,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),35,sumStdTotalWaitTimes,Sum of Std Total Wait Times (Final),0.7079431970139001,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),39,sumStdTotalWaitTimes,Sum of Std Total Wait Times (Final),0.7032060621672884,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),42,sumStdTotalWaitTimes,Sum of Std Total Wait Times (Final),0.7048061014402198,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),45,sumStdTotalWaitTimes,Sum of Std Total Wait Times (Final),0.6988208500485141,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),49,sumStdTotalWaitTimes,Sum of Std Total Wait Times (Final),0.6975284315921364,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),52,sumStdTotalWaitTimes,Sum of Std Total Wait Times (Final),0.6951491579716365,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),56,sumStdTotalWaitTimes,Sum of Std Total Wait Times (Final),0.6943992929812622,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),59,sumStdTotalWaitTimes,Sum of Std Total Wait Times (Final),0.6908742748427219,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),62,sumStdTotalWaitTimes,Sum of Std Total Wait Times (Final),0.6903549284668603,1
