regime,factorKey,factorLabel,factorValue,seedRep,metricKey,metricLabel,fixedValue,greedyValue,ratio,arrivalsPerStep,departuresPerStep,gridSize,simDuration,arrivalMin,arrivalMax,departureRate,requestedFactorValue,runSeed,inflowSeedOffset
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.1579,0,vehiclesInNetwork,Vehicles In Network (Final),113234,109565,0.9675980712506844,400,160,5,500,0,40,8,0.1579,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.1579,0,sumQueueSizes,Total Queue Size (Final),108782,104875,0.964084131565884,400,160,5,500,0,40,8,0.1579,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.1579,0,sumAvgWaitTimes,Sum of Average Wait Times (Final),7217.689607783271,6019.535006058348,0.8339974885546643,400,160,5,500,0,40,8,0.1579,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.1579,0,sumTotalWaitTimes,Sum of Total Wait Times (Final),17013480,14180436,0.8334823916094767,400,160,5,500,0,40,8,0.1579,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.1579,0,sumStdTotalWaitTimes,Sum of Std Total Wait Times (Final),4404350.508447881,3391273.639137868,0.7699826870348184,400,160,5,500,0,40,8,0.1579,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.2105,0,throughput,Network Throughput (Final),83116,84376,1.0151595360700707,400,160,5,500,0,40,8,0.2105,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.2105,0,totalVehiclesEntered,Total Vehicles Entered (Final),199064,199064,1,400,160,5,500,0,40,8,0.2105,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.2105,0,vehiclesInNetwork,Vehicles In Network (Final),115948,114688,0.9891330596474281,400,160,5,500,0,40,8,0.2105,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.2105,0,sumQueueSizes,Total Queue Size (Final),111824,110380,0.9870868507654886,400,160,5,500,0,40,8,0.2105,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.2105,0,sumAvgWaitTimes,Sum of Average Wait Times (Final),6450.508770719184,6148.52176103195,0.9531840013832638,400,160,5,500,0,40,8,0.2105,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.2105,0,sumTotalWaitTimes,Sum of Total Wait Times (Final),16908424,15283003,0.9038691601298856,400,160,5,500,0,40,8,0.2105,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.2105,0,sumStdTotalWaitTimes,Sum of Std Total Wait Times (Final),4610466.232875818,3687388.5749266846,0.7997864833350365,400,160,5,500,0,40,8,0.2105,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.2632,0,throughput,Network Throughput (Final),80421,79594,0.9897166163066861,400,160,5,500,0,40,8,0.2632,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.2632,0,totalVehiclesEntered,Total Vehicles Entered (Final),199064,199064,1,400,160,5,500,0,40,8,0.2632,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.2632,0,vehiclesInNetwork,Vehicles In Network (Final),118643,119470,1.0069704913058504,400,160,5,500,0,40,8,0.2632,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.2632,0,sumQueueSizes,Total Queue Size (Final),114804,115454,1.0056618236298387,400,160,5,500,0,40,8,0.2632,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.2632,0,sumAvgWaitTimes,Sum of Average Wait Times (Final),5884.872199427755,6306.299395291831,1.0716119537659723,400,160,5,500,0,40,8,0.2632,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.2632,0,sumTotalWaitTimes,Sum of Total Wait Times (Final),17332163,16314975,0.9413121143621832,400,160,5,500,0,40,8,0.2632,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.2632,0,sumStdTotalWaitTimes,Sum of Std Total Wait Times (Final),4931136.47214681,3967956.329494159,0.8046738012437683,400,160,5,500,0,40,8,0.2632,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.3158,0,throughput,Network Throughput (Final),77493,75046,0.9684229543313589,400,160,5,500,0,40,8,0.3158,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.3158,0,totalVehiclesEntered,Total Vehicles Entered (Final),199064,199064,1,400,160,5,500,0,40,8,0.3158,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.3158,0,vehiclesInNetwork,Vehicles In Network (Final),121571,124018,1.0201281555634156,400,160,5,500,0,40,8,0.3158,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.3158,0,sumQueueSizes,Total Queue Size (Final),117885,120376,1.0211307630317683,400,160,5,500,0,40,8,0.3158,2,0
